Model,Dataset,Scale,PSNR,SSIM,PI,NIQE,LPIPS,Parameters,ModelSize_MB
RealESRGAN_31_NextSRGAN_x4,Set14,4,24.31,0.7086,3.6217,4.5619,0.2023,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,2,25.6,0.7866,4.2372,5.7967,0.1532,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,3,25.6,0.7866,4.2372,5.7967,0.1532,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,4,25.6,0.7866,4.2372,5.7967,0.1532,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Urban100,2,22.96,0.714,4.1926,5.1544,0.2231,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Urban100,4,22.96,0.714,4.1926,5.1544,0.2231,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,2,24.51,0.679,3.1673,4.4738,0.2754,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,3,24.51,0.679,3.1673,4.4738,0.2754,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,4,24.51,0.679,3.1673,4.4738,0.2754,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,2,24.17,0.7059,3.6024,4.5225,0.2172,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,3,24.17,0.7059,3.6024,4.5225,0.2172,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,4,24.17,0.7059,3.6024,4.5225,0.2172,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,2,25.49,0.7886,4.1401,5.7567,0.1695,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,3,25.49,0.7886,4.1401,5.7567,0.1695,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set5,4,25.49,0.7886,4.1401,5.7567,0.1695,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Urban100,2,22.85,0.7176,4.0742,5.05,0.2178,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Urban100,4,22.85,0.7176,4.0742,5.05,0.2178,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,2,24.84,0.686,3.4958,4.9229,0.2729,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,3,24.84,0.686,3.4958,4.9229,0.2729,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,BSD100,4,24.84,0.686,3.4958,4.9229,0.2729,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set14,2,24.52,0.7163,3.7525,4.8085,0.2061,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set14,3,24.52,0.7163,3.7525,4.8085,0.2061,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set14,4,24.52,0.7163,3.7525,4.8085,0.2061,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set5,2,26.09,0.8055,4.1396,5.732,0.1503,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set5,3,26.09,0.8055,4.1396,5.732,0.1503,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Set5,4,26.09,0.8055,4.1396,5.732,0.1503,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Urban100,2,23.03,0.721,4.1931,5.2453,0.2249,16697987,63.7
RealESRGAN_33_ConvNextDiscriminator_Stage1_x4,Urban100,4,23.03,0.721,4.1931,5.2453,0.2249,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,BSD100,2,24.28,0.6705,3.1225,4.3989,0.2722,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,BSD100,3,24.28,0.6705,3.1225,4.3989,0.2722,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,BSD100,4,24.28,0.6705,3.1225,4.3989,0.2722,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set14,2,24.06,0.7028,3.4896,4.4355,0.2095,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set14,3,24.06,0.7028,3.4896,4.4355,0.2095,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set14,4,24.06,0.7028,3.4896,4.4355,0.2095,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set5,2,25.3,0.7807,4.1003,5.6605,0.163,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set5,3,25.3,0.7807,4.1003,5.6605,0.163,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Set5,4,25.3,0.7807,4.1003,5.6605,0.163,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Urban100,2,22.8,0.7112,4.2414,5.3243,0.2262,16697987,63.7
RealESRGAN_34_PATCHGAN_x4,Urban100,4,22.8,0.7112,4.2414,5.3243,0.2262,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,BSD100,2,22.99,0.5716,3.9214,5.8047,0.3808,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,BSD100,3,22.99,0.5716,3.9214,5.8047,0.3808,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,BSD100,4,22.99,0.5716,3.9214,5.8047,0.3808,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set14,2,22.38,0.6015,4.1898,5.6266,0.3119,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set14,3,22.38,0.6015,4.1898,5.6266,0.3119,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set14,4,22.38,0.6015,4.1898,5.6266,0.3119,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set5,2,23.31,0.6538,4.8625,6.9344,0.2292,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set5,3,23.31,0.6538,4.8625,6.9344,0.2292,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Set5,4,23.31,0.6538,4.8625,6.9344,0.2292,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Urban100,2,21.2,0.6326,4.8039,6.2413,0.3217,16697987,63.7
RealESRGAN_35_UltraLightWeight_V1_x4,Urban100,4,21.2,0.6326,4.8039,6.2413,0.3217,16697987,63.7
