Model,Dataset,Enlargement,PSNR,SSIM,PI,NIQE,LPIPS,Parameters,ModelSize_MB
RealESRGAN_29_DEFAULT_x4,Urban100,2x,23.59,0.8054,4.045,5.8354,0.123,16697987,63.7
RealESRGAN_29_DEFAULT_x4,Urban100,4x,20.71,0.6113,3.5617,3.4467,0.2903,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,BSD100,2x,26.31,0.7831,3.1481,4.7606,0.1846,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,BSD100,3x,24.36,0.6679,3.3558,4.7534,0.2745,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,BSD100,4x,22.99,0.5772,3.1709,4.2331,0.3233,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set14,2x,26.11,0.809,3.5168,4.762,0.1369,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set14,3x,24.17,0.7045,3.8026,4.8022,0.2022,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set14,4x,22.65,0.6123,3.5455,4.1214,0.2679,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,2x,27.9,0.8673,3.975,5.5376,0.1097,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,3x,25.47,0.7894,4.2874,5.8313,0.1474,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Set5,4x,23.45,0.703,4.4493,6.0212,0.2025,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Urban100,2x,24.63,0.8234,4.2898,6.1538,0.1164,16697987,63.7
RealESRGAN_31_NextSRGAN_x4,Urban100,4x,21.29,0.6046,4.0955,4.1549,0.3299,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,2x,26.22,0.7815,3.0417,4.5349,0.2008,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,3x,24.32,0.6699,3.2579,4.5383,0.2905,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,BSD100,4x,22.99,0.5854,3.2022,4.3482,0.3347,16697987,63.7
RealESRGAN_32_UltraFastQualityDiscriminator_64_x4,Set14,2x,25.87,0.8011,3.5258,4.7422,0.1522,16697987,63.7
